Zip Code,Type,Area,Area2,Area3,Area4,Area5,Area6
15201,All,LAWRENCEVILLE,STANTON HEIGHTS,NULL,NULL,NULL,NULL
15203,All,SOUTHSIDE,NULL,NULL,NULL,NULL,NULL
15204,Part,SHERADEN,ELLIOTT,ESPLEN,BROADHEAD,NULL,NULL
15205,Part,CRAFTON HEIGHTS,NULL,NULL,NULL,NULL,NULL
15206,All,EAST LIBERTY,MORNINGSIDE,BROADHEAD,NULL,NULL,NULL
15207,All,HAZELWOOD,GREENFIELD,GLENWOOD,GLEN HAZEL,HAYS,BROADHEAD
15208,All,HOMEWOOD,BRUSHTON,EAST END,POINT BREEZE,NULL,NULL
15210,Part,KNOXVILLE,BELTZHOOVER,CARRICK,ARLINGTON,NULL,NULL
15211,All,MT WASHINGTON,ARLINGTON,NULL,NULL,NULL,NULL
15212,Part,NORTHSIDE,NULL,NULL,NULL,NULL,NULL
15213,All,OAKLAND,ARLINGTON,NULL,NULL,NULL,NULL
15214,Part,NORTHSIDE,NULL,NULL,NULL,NULL,NULL
15215,Part,Sharpsburg,Aspinwall,ARLINGTON,NULL,NULL,NULL
15216,Part,BEECHVIEW,NULL,NULL,NULL,NULL,NULL
15217,All,SQUIRREL HILL,GREENFIELD,ARLINGTON,NULL,NULL,NULL
15218,Part,REGENT SQUARE,SWISSHELM PARK,NULL,NULL,NULL,NULL
15219,All,UPTOWN,HERRON HILL,SCHENLEY HEIGHTS,NULL,NULL,NULL
15220,Part,WEST END,WABASH,WESTWOOD,BANKSVILLE,NULL,NULL
15221,Part,BRUSHTON,HOMEWOOD,EAST HILLS,NULL,NULL,NULL
15222,All,DOWNTOWN,NULL,NULL,NULL,NULL,NULL
15224,All,BLOOMFIELD,GARFIELD,NULL,NULL,NULL,NULL
15226,Part,BROOKLINE,OVERBROOK,NULL,NULL,NULL,NULL
15227,Part,CARRICK,OVERBROOK,NULL,NULL,NULL,NULL
15230,All,DOWNTOWN BUSINESSES,NULL,NULL,NULL,NULL,NULL
15232,All,SHADYSIDE,EAST END,NULL,NULL,NULL,NULL
15233,All,MANCHESTER,NORTHSIDE,NULL,NULL,NULL,NULL
15234,Part,OVERBROOK,NULL,NULL,NULL,NULL,NULL
15235,Part,Borough of Churchill,NULL,NULL,NULL,NULL,NULL
15240,All,VETERANâ€™S HOSPITAL,NULL,NULL,NULL,NULL,NULL
15260,All,THE UNIVERSITY OF PITTSBURGH,NULL,NULL,NULL,NULL,NULL
15282,All,DUQUESNE UNIVERSITY,NULL,NULL,NULL,NULL,NULL